year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,0.782,0.102,0.116
1994,0.540,0.151,0.309
1995,0.453,0.150,0.397
1996,0.441,0.151,0.408
1997,0.357,0.157,0.486
1998,0.379,0.137,0.484
1999,0.226,0.143,0.631
2000,0.166,0.186,0.648
2001,0.206,0.127,0.667
2002,0.143,0.119,0.737
2003,0.165,0.137,0.698
2004,0.187,0.136,0.677
2005,0.181,0.091,0.728
2006,0.183,0.126,0.691
2007,0.125,0.116,0.759
2008,0.192,0.132,0.676
2009,0.160,0.129,0.711
2010,0.151,0.104,0.745
2011,0.270,0.152,0.579
2012,0.108,0.102,0.789
