year,new_fraction,chaperoned_fraction,established_fraction
1990,0.133,0.072,0.796
1991,0.111,0.083,0.806
1992,0.103,0.057,0.840
1993,0.115,0.094,0.791
1994,0.139,0.071,0.789
1995,0.127,0.080,0.793
1996,0.113,0.071,0.816
1997,0.138,0.078,0.784
1998,0.143,0.077,0.780
1999,0.109,0.082,0.810
2000,0.131,0.081,0.788
2001,0.123,0.059,0.817
2002,0.129,0.095,0.776
2003,0.187,0.082,0.730
2004,0.110,0.086,0.805
2005,0.113,0.072,0.815
2006,0.123,0.075,0.801
2007,0.148,0.087,0.765
2008,0.134,0.102,0.764
2009,0.114,0.078,0.808
2010,0.117,0.078,0.805
2011,0.131,0.090,0.779
2012,0.164,0.079,0.757
