year,new_fraction,chaperoned_fraction,established_fraction
1990,0.369,0.118,0.513
1991,0.325,0.156,0.519
1992,0.345,0.152,0.503
1993,0.371,0.152,0.477
1994,0.340,0.147,0.513
1995,0.368,0.142,0.489
1996,0.467,0.110,0.423
1997,0.484,0.160,0.356
1998,0.472,0.113,0.416
1999,0.461,0.157,0.382
2000,0.418,0.127,0.455
2001,0.397,0.177,0.426
2002,0.440,0.170,0.390
2003,0.406,0.178,0.416
2004,0.492,0.160,0.348
2005,0.498,0.166,0.336
2006,0.469,0.155,0.376
2007,0.450,0.216,0.335
2008,0.417,0.218,0.365
2009,0.428,0.200,0.372
2010,0.435,0.216,0.349
2011,0.421,0.199,0.380
2012,0.429,0.200,0.371
