year,new_fraction,chaperoned_fraction,established_fraction
1990,0.491,0.138,0.371
1991,0.502,0.126,0.372
1992,0.537,0.171,0.293
1993,0.403,0.146,0.451
1994,0.368,0.145,0.487
1995,0.293,0.179,0.528
1996,0.442,0.155,0.403
1997,0.500,0.112,0.388
1998,0.373,0.155,0.473
1999,0.355,0.150,0.495
2000,0.495,0.153,0.351
2001,0.333,0.175,0.491
2002,0.488,0.124,0.388
2003,0.418,0.173,0.408
2004,0.471,0.144,0.385
2005,0.417,0.188,0.396
2006,0.629,0.105,0.267
2007,0.566,0.085,0.349
2008,0.530,0.140,0.330
2009,0.558,0.142,0.301
2010,0.415,0.077,0.508
2011,0.496,0.122,0.383
2012,0.526,0.158,0.316
