year,new_fraction,chaperoned_fraction,established_fraction
1990,1.000,0.000,0.000
1991,,,
1992,,,
1993,,,
1994,0.907,0.093,0.000
1995,0.769,0.096,0.135
1996,0.672,0.125,0.203
1997,0.650,0.083,0.267
1998,0.694,0.097,0.210
1999,0.533,0.100,0.367
2000,0.609,0.109,0.281
2001,0.607,0.049,0.344
2002,0.482,0.096,0.422
2003,0.459,0.118,0.424
2004,0.531,0.112,0.357
2005,0.447,0.129,0.424
2006,0.681,0.044,0.274
2007,0.552,0.097,0.351
2008,0.588,0.096,0.316
2009,0.538,0.152,0.310
2010,0.581,0.126,0.292
2011,0.541,0.124,0.335
2012,0.488,0.142,0.369
