year,new_fraction,chaperoned_fraction,established_fraction
1990,0.300,0.149,0.551
1991,0.327,0.177,0.496
1992,0.312,0.163,0.525
1993,0.344,0.169,0.488
1994,0.314,0.167,0.519
1995,0.346,0.167,0.487
1996,0.256,0.176,0.568
1997,0.294,0.168,0.537
1998,0.296,0.173,0.531
1999,0.250,0.130,0.621
2000,0.266,0.166,0.568
2001,0.258,0.181,0.561
2002,0.251,0.170,0.579
2003,0.259,0.182,0.559
2004,0.308,0.177,0.515
2005,0.289,0.154,0.557
2006,0.221,0.169,0.610
2007,0.254,0.175,0.571
2008,0.244,0.191,0.564
2009,0.200,0.153,0.647
2010,0.269,0.182,0.549
2011,0.244,0.178,0.578
2012,0.209,0.186,0.605
