year,new_fraction,chaperoned_fraction,established_fraction
1990,0.146,0.134,0.720
1991,0.256,0.129,0.616
1992,0.150,0.144,0.707
1993,0.164,0.156,0.679
1994,0.157,0.152,0.691
1995,0.136,0.168,0.696
1996,0.127,0.167,0.706
1997,0.198,0.173,0.628
1998,0.183,0.167,0.650
1999,0.165,0.202,0.633
2000,0.254,0.142,0.604
2001,0.154,0.156,0.691
2002,0.212,0.151,0.638
2003,0.159,0.202,0.639
2004,0.144,0.142,0.714
2005,0.181,0.167,0.652
2006,0.130,0.212,0.657
2007,0.181,0.173,0.646
2008,0.103,0.119,0.778
2009,0.290,0.143,0.567
2010,0.171,0.195,0.633
2011,0.213,0.153,0.634
2012,0.189,0.129,0.682
