year,new_fraction,chaperoned_fraction,established_fraction
1990,0.374,0.158,0.468
1991,0.314,0.163,0.523
1992,0.330,0.174,0.496
1993,0.295,0.169,0.536
1994,0.333,0.151,0.516
1995,0.288,0.150,0.562
1996,0.272,0.148,0.580
1997,0.285,0.134,0.581
1998,0.288,0.145,0.567
1999,0.280,0.177,0.543
2000,0.264,0.161,0.576
2001,0.265,0.175,0.560
2002,0.252,0.177,0.571
2003,0.256,0.187,0.557
2004,0.236,0.175,0.589
2005,0.245,0.170,0.586
2006,0.237,0.181,0.582
2007,0.233,0.159,0.608
2008,0.230,0.166,0.604
2009,0.211,0.181,0.608
2010,0.183,0.176,0.641
2011,0.179,0.146,0.675
2012,0.179,0.155,0.666
