year,new_fraction,chaperoned_fraction,established_fraction
1990,0.329,0.145,0.526
1991,0.326,0.079,0.596
1992,0.435,0.109,0.457
1993,0.424,0.118,0.459
1994,0.310,0.092,0.598
1995,0.370,0.140,0.490
1996,0.369,0.097,0.534
1997,0.319,0.110,0.571
1998,0.382,0.092,0.526
1999,0.331,0.110,0.559
2000,0.317,0.099,0.584
2001,0.260,0.030,0.710
2002,0.286,0.110,0.604
2003,0.322,0.148,0.530
2004,0.364,0.172,0.465
2005,0.354,0.167,0.479
2006,0.455,0.091,0.455
2007,0.394,0.163,0.442
2008,0.366,0.169,0.465
2009,0.401,0.159,0.440
2010,0.305,0.159,0.537
2011,0.412,0.135,0.452
2012,0.435,0.166,0.399
