year,new_fraction,chaperoned_fraction,established_fraction
1990,0.566,0.090,0.344
1991,0.513,0.079,0.407
1992,0.599,0.092,0.309
1993,0.508,0.103,0.388
1994,0.477,0.081,0.442
1995,0.425,0.090,0.485
1996,0.438,0.130,0.432
1997,0.431,0.116,0.453
1998,0.455,0.101,0.444
1999,0.354,0.128,0.519
2000,0.388,0.106,0.507
2001,0.329,0.116,0.554
2002,0.354,0.122,0.524
2003,0.357,0.104,0.538
2004,0.348,0.117,0.535
2005,0.387,0.117,0.496
2006,0.347,0.114,0.539
2007,0.391,0.115,0.495
2008,0.366,0.135,0.499
2009,0.313,0.147,0.539
2010,0.385,0.128,0.486
2011,0.319,0.118,0.563
2012,0.366,0.132,0.501
