year,new_fraction,chaperoned_fraction,established_fraction
1990,0.383,0.191,0.426
1991,0.325,0.204,0.471
1992,0.310,0.163,0.526
1993,0.286,0.178,0.535
1994,0.252,0.194,0.554
1995,0.223,0.167,0.610
1996,0.159,0.151,0.690
1997,0.148,0.170,0.683
1998,0.220,0.189,0.591
1999,0.156,0.155,0.689
2000,0.149,0.155,0.696
2001,0.164,0.135,0.701
2002,0.166,0.139,0.694
2003,0.110,0.144,0.746
2004,0.116,0.145,0.739
2005,0.101,0.112,0.787
2006,0.159,0.143,0.698
2007,0.112,0.120,0.768
2008,0.113,0.115,0.773
2009,0.113,0.149,0.738
2010,0.103,0.130,0.767
2011,0.129,0.132,0.738
2012,0.223,0.154,0.623
