year,new_fraction,chaperoned_fraction,established_fraction
1990,0.152,0.173,0.675
1991,0.205,0.157,0.637
1992,0.154,0.171,0.674
1993,0.181,0.183,0.635
1994,0.187,0.174,0.640
1995,0.156,0.228,0.616
1996,0.128,0.193,0.679
1997,0.126,0.168,0.706
1998,0.148,0.150,0.702
1999,0.115,0.148,0.737
2000,0.123,0.161,0.716
2001,0.114,0.141,0.745
2002,0.104,0.149,0.747
2003,0.108,0.144,0.748
2004,0.105,0.125,0.770
2005,0.108,0.153,0.739
2006,0.077,0.140,0.783
2007,0.118,0.116,0.767
2008,0.085,0.135,0.779
2009,0.089,0.125,0.786
2010,0.067,0.141,0.792
2011,0.088,0.130,0.782
2012,0.077,0.125,0.798
