year,new_fraction,chaperoned_fraction,established_fraction
1990,0.248,0.174,0.577
1991,0.239,0.175,0.586
1992,0.237,0.168,0.594
1993,0.226,0.162,0.612
1994,0.224,0.147,0.629
1995,0.224,0.158,0.618
1996,0.207,0.159,0.634
1997,0.193,0.166,0.641
1998,0.200,0.164,0.636
1999,0.185,0.188,0.627
2000,0.166,0.171,0.663
2001,0.163,0.168,0.670
2002,0.149,0.167,0.684
2003,0.140,0.160,0.701
2004,0.132,0.161,0.707
2005,0.135,0.155,0.710
2006,0.123,0.166,0.711
2007,0.114,0.151,0.735
2008,0.108,0.163,0.729
2009,0.094,0.166,0.740
2010,0.088,0.167,0.744
2011,0.086,0.156,0.758
2012,0.082,0.164,0.754
