year,new_fraction,chaperoned_fraction,established_fraction
1990,0.410,0.106,0.484
1991,0.389,0.111,0.500
1992,0.413,0.119,0.468
1993,0.385,0.117,0.498
1994,0.387,0.120,0.493
1995,0.371,0.106,0.523
1996,0.356,0.115,0.528
1997,0.369,0.136,0.495
1998,0.361,0.126,0.513
1999,0.353,0.108,0.539
2000,0.353,0.131,0.516
2001,0.309,0.115,0.576
2002,0.321,0.134,0.545
2003,0.303,0.129,0.568
2004,0.276,0.134,0.590
2005,0.333,0.115,0.552
2006,0.313,0.137,0.550
2007,0.331,0.135,0.534
2008,0.305,0.146,0.549
2009,0.322,0.131,0.547
2010,0.303,0.135,0.561
2011,0.273,0.145,0.582
2012,0.286,0.157,0.557
