year,new_fraction,chaperoned_fraction,established_fraction
1990,0.160,0.115,0.725
1991,0.142,0.097,0.761
1992,0.152,0.095,0.753
1993,0.147,0.105,0.748
1994,0.166,0.110,0.724
1995,0.144,0.092,0.764
1996,0.136,0.105,0.759
1997,0.134,0.100,0.766
1998,0.142,0.103,0.756
1999,0.135,0.105,0.759
2000,0.133,0.101,0.766
2001,0.146,0.099,0.755
2002,0.148,0.104,0.747
2003,0.132,0.096,0.772
2004,0.144,0.088,0.768
2005,0.188,0.086,0.726
2006,0.164,0.094,0.742
2007,0.138,0.100,0.762
2008,0.183,0.101,0.715
2009,0.192,0.121,0.687
2010,0.173,0.109,0.718
2011,0.165,0.117,0.717
2012,0.146,0.085,0.769
