year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,0.856,0.040,0.104
1994,0.659,0.083,0.258
1995,0.465,0.145,0.389
1996,0.469,0.134,0.397
1997,0.353,0.157,0.490
1998,0.505,0.111,0.384
1999,0.304,0.177,0.519
2000,0.366,0.132,0.502
2001,0.350,0.158,0.492
2002,0.327,0.162,0.511
2003,0.260,0.172,0.568
2004,0.310,0.157,0.533
2005,0.315,0.111,0.574
2006,0.286,0.141,0.573
2007,0.264,0.136,0.601
2008,0.389,0.107,0.504
2009,0.272,0.132,0.596
2010,0.335,0.117,0.548
2011,0.294,0.095,0.612
2012,0.396,0.125,0.479
