year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.757,0.100,0.143
1995,0.458,0.202,0.339
1996,0.321,0.182,0.497
1997,0.268,0.199,0.533
1998,0.250,0.197,0.554
1999,0.263,0.203,0.534
2000,0.208,0.182,0.610
2001,0.192,0.189,0.618
2002,0.188,0.180,0.632
2003,0.188,0.172,0.640
2004,0.171,0.204,0.625
2005,0.169,0.168,0.663
2006,0.157,0.157,0.685
2007,0.148,0.137,0.716
2008,0.166,0.135,0.699
2009,0.151,0.156,0.693
2010,0.156,0.148,0.696
2011,0.161,0.137,0.703
2012,0.154,0.159,0.687
