year,new_fraction,chaperoned_fraction,established_fraction
1990,0.684,0.034,0.282
1991,0.623,0.049,0.328
1992,0.595,0.005,0.400
1993,0.564,0.011,0.426
1994,0.586,0.011,0.403
1995,0.737,0.030,0.234
1996,0.669,0.000,0.331
1997,0.703,0.006,0.291
1998,0.652,0.035,0.312
1999,0.610,0.013,0.377
2000,0.579,0.036,0.386
2001,0.603,0.007,0.390
2002,0.625,0.014,0.361
2003,0.553,0.016,0.431
2004,0.705,0.021,0.274
2005,0.673,0.020,0.307
2006,0.624,0.043,0.333
2007,0.616,0.006,0.378
2008,0.726,0.013,0.261
2009,0.619,0.017,0.364
2010,0.629,0.007,0.364
2011,0.638,0.038,0.324
2012,0.773,0.030,0.197
