year,new_fraction,chaperoned_fraction,established_fraction
1990,0.299,0.129,0.571
1991,0.291,0.133,0.576
1992,0.225,0.148,0.627
1993,0.456,0.167,0.377
1994,0.607,0.143,0.250
1995,0.567,0.177,0.256
1996,0.524,0.140,0.336
1997,0.474,0.126,0.400
1998,0.490,0.178,0.331
1999,0.339,0.194,0.468
2000,0.445,0.195,0.359
2001,0.369,0.241,0.390
2002,0.504,0.163,0.333
2003,0.303,0.202,0.494
2004,0.545,0.172,0.284
2005,0.389,0.183,0.427
2006,0.376,0.206,0.418
2007,0.416,0.223,0.361
2008,0.460,0.223,0.317
2009,0.380,0.244,0.376
2010,0.424,0.207,0.370
2011,0.373,0.223,0.404
2012,0.358,0.232,0.411
