year,new_fraction,chaperoned_fraction,established_fraction
1990,0.914,0.019,0.067
1991,0.624,0.089,0.287
1992,0.544,0.117,0.340
1993,0.559,0.157,0.283
1994,0.434,0.091,0.475
1995,0.394,0.106,0.500
1996,0.391,0.184,0.425
1997,0.548,0.089,0.363
1998,0.492,0.083,0.425
1999,0.515,0.136,0.349
2000,0.517,0.114,0.369
2001,0.565,0.124,0.312
2002,0.490,0.097,0.413
2003,0.536,0.099,0.365
2004,0.515,0.136,0.349
2005,0.574,0.102,0.324
2006,0.488,0.121,0.391
2007,0.554,0.108,0.337
2008,0.440,0.113,0.448
2009,0.480,0.137,0.383
2010,0.455,0.141,0.405
2011,0.549,0.109,0.342
2012,0.512,0.076,0.413
