year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,0.729,0.146,0.125
1995,0.632,0.139,0.229
1996,0.652,0.145,0.203
1997,0.436,0.191,0.374
1998,0.539,0.180,0.281
1999,0.439,0.164,0.397
2000,0.320,0.115,0.566
2001,0.335,0.215,0.450
2002,0.376,0.129,0.494
2003,0.330,0.120,0.549
2004,0.513,0.158,0.329
2005,0.417,0.166,0.417
2006,0.533,0.133,0.333
2007,0.517,0.179,0.304
2008,0.361,0.168,0.470
2009,0.353,0.145,0.502
2010,0.370,0.237,0.393
2011,0.351,0.159,0.490
2012,0.364,0.197,0.439
