year,new_fraction,chaperoned_fraction,established_fraction
1990,0.435,0.118,0.448
1991,0.328,0.101,0.571
1992,0.282,0.154,0.564
1993,0.516,0.103,0.381
1994,0.508,0.130,0.362
1995,0.454,0.097,0.449
1996,0.369,0.110,0.521
1997,0.401,0.155,0.444
1998,0.511,0.108,0.381
1999,0.366,0.160,0.474
2000,0.436,0.150,0.414
2001,0.435,0.159,0.406
2002,0.381,0.138,0.481
2003,0.393,0.138,0.468
2004,0.473,0.141,0.386
2005,0.401,0.121,0.478
2006,0.500,0.145,0.355
2007,0.411,0.137,0.452
2008,0.393,0.202,0.404
2009,0.361,0.167,0.472
2010,0.423,0.150,0.427
2011,0.417,0.198,0.384
2012,0.380,0.122,0.499
