year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,0.907,0.025,0.068
1993,0.739,0.090,0.171
1994,0.633,0.124,0.243
1995,0.638,0.132,0.230
1996,0.514,0.153,0.333
1997,0.440,0.145,0.415
1998,0.483,0.143,0.374
1999,0.423,0.179,0.398
2000,0.477,0.144,0.379
2001,0.320,0.125,0.555
2002,0.364,0.149,0.487
2003,0.434,0.128,0.438
2004,0.441,0.130,0.429
2005,0.483,0.151,0.366
2006,0.326,0.172,0.503
2007,0.390,0.157,0.453
2008,0.399,0.130,0.471
2009,0.351,0.167,0.482
2010,0.404,0.168,0.427
2011,0.343,0.171,0.486
2012,0.283,0.189,0.528
