year,new_fraction,chaperoned_fraction,established_fraction
1990,0.333,0.102,0.565
1991,0.292,0.135,0.573
1992,0.304,0.076,0.620
1993,0.237,0.092,0.671
1994,0.318,0.109,0.573
1995,0.282,0.127,0.591
1996,0.250,0.106,0.644
1997,0.218,0.192,0.590
1998,0.287,0.143,0.570
1999,0.141,0.222,0.636
2000,0.212,0.116,0.672
2001,0.266,0.141,0.594
2002,0.247,0.096,0.657
2003,0.179,0.149,0.673
2004,0.271,0.141,0.589
2005,0.306,0.172,0.522
2006,0.260,0.158,0.582
2007,0.250,0.202,0.548
2008,0.225,0.155,0.620
2009,0.267,0.210,0.523
2010,0.275,0.162,0.563
2011,0.259,0.189,0.551
2012,0.243,0.204,0.553
