year,new_fraction,chaperoned_fraction,established_fraction
1990,0.294,0.157,0.549
1991,0.301,0.159,0.540
1992,0.294,0.171,0.535
1993,0.285,0.180,0.534
1994,0.288,0.193,0.519
1995,0.295,0.179,0.526
1996,0.285,0.167,0.548
1997,0.249,0.156,0.595
1998,0.265,0.173,0.562
1999,0.270,0.192,0.538
2000,0.255,0.179,0.567
2001,0.245,0.167,0.588
2002,0.243,0.189,0.568
2003,0.266,0.212,0.522
2004,0.277,0.218,0.506
2005,0.241,0.229,0.531
2006,0.300,0.185,0.515
2007,0.286,0.193,0.521
2008,0.285,0.194,0.521
2009,0.268,0.229,0.503
2010,0.276,0.204,0.519
2011,0.299,0.210,0.491
2012,0.258,0.220,0.522
