year,new_fraction,chaperoned_fraction,established_fraction
1990,0.335,0.137,0.528
1991,0.338,0.108,0.554
1992,0.312,0.109,0.579
1993,0.343,0.144,0.513
1994,0.297,0.144,0.559
1995,0.279,0.138,0.583
1996,0.263,0.147,0.590
1997,0.358,0.150,0.492
1998,0.286,0.155,0.559
1999,0.248,0.144,0.607
2000,0.222,0.136,0.642
2001,0.281,0.175,0.544
2002,0.240,0.122,0.639
2003,0.276,0.158,0.566
2004,0.257,0.122,0.622
2005,0.248,0.162,0.591
2006,0.267,0.120,0.613
2007,0.270,0.145,0.585
2008,0.276,0.129,0.595
2009,0.231,0.163,0.606
2010,0.271,0.139,0.589
2011,0.223,0.131,0.646
2012,0.224,0.194,0.582
