year,new_fraction,chaperoned_fraction,established_fraction
1990,0.264,0.179,0.557
1991,0.264,0.171,0.565
1992,0.230,0.167,0.602
1993,0.224,0.142,0.633
1994,0.303,0.133,0.564
1995,0.205,0.151,0.644
1996,0.302,0.128,0.570
1997,0.192,0.129,0.679
1998,0.259,0.133,0.607
1999,0.170,0.120,0.710
2000,0.256,0.140,0.604
2001,0.167,0.135,0.698
2002,0.263,0.139,0.598
2003,0.144,0.140,0.716
2004,0.323,0.143,0.534
2005,0.211,0.134,0.655
2006,0.249,0.136,0.615
2007,0.301,0.145,0.555
2008,0.267,0.169,0.564
2009,0.287,0.212,0.501
2010,0.334,0.181,0.485
2011,0.333,0.179,0.487
2012,0.271,0.183,0.546
