year,new_fraction,chaperoned_fraction,established_fraction
1990,0.506,0.124,0.371
1991,0.471,0.135,0.394
1992,0.531,0.109,0.361
1993,0.316,0.107,0.577
1994,0.226,0.171,0.603
1995,0.452,0.166,0.382
1996,0.310,0.138,0.552
1997,0.380,0.113,0.507
1998,0.513,0.118,0.368
1999,0.388,0.163,0.450
2000,0.452,0.113,0.435
2001,0.341,0.138,0.520
2002,0.380,0.167,0.454
2003,0.343,0.148,0.509
2004,0.362,0.197,0.441
2005,0.419,0.243,0.338
2006,0.395,0.140,0.465
2007,0.395,0.173,0.432
2008,0.379,0.177,0.444
2009,0.335,0.163,0.502
2010,0.276,0.173,0.551
2011,0.289,0.156,0.556
2012,0.331,0.108,0.561
