year,c,C,C_alphabet
1990,0.440,1.295,0.413
1991,0.411,1.107,0.388
1992,0.459,1.241,0.425
1993,0.467,1.189,0.498
1994,0.565,1.462,0.440
1995,0.466,1.163,0.413
1996,0.428,1.083,0.489
1997,0.533,1.279,0.376
1998,0.566,1.272,0.506
1999,0.353,0.879,0.484
2000,0.540,1.326,0.495
2001,0.679,1.383,0.526
2002,0.591,1.286,0.392
2003,0.620,1.470,0.425
2004,0.557,1.264,0.552
2005,0.573,1.233,0.382
2006,0.624,1.410,0.371
2007,0.601,1.364,0.463
2008,0.769,1.504,0.424
2009,0.659,1.472,0.438
2010,0.713,1.416,0.475
2011,0.728,1.521,0.525
2012,0.855,1.713,0.536
