year,c,C,C_alphabet
1990,0.000,0.000,0.000
1991,0.138,1.013,0.787
1992,0.067,0.723,1.049
1993,0.107,0.791,0.509
1994,0.062,0.602,0.996
1995,0.172,1.164,0.653
1996,0.179,1.929,0.934
1997,0.214,1.230,0.348
1998,0.100,0.417,0.759
1999,0.187,0.960,0.297
2000,0.200,1.534,0.959
2001,0.170,0.705,0.324
2002,0.273,1.231,0.131
2003,0.250,1.216,0.251
2004,0.286,1.321,0.482
2005,0.397,1.536,0.708
2006,0.313,1.193,0.500
2007,0.371,1.478,0.713
2008,0.329,1.154,0.491
2009,0.414,1.250,0.576
2010,0.389,1.340,0.595
2011,0.407,1.206,0.547
2012,0.588,1.906,0.446
