year,c,C,C_alphabet
1990,,,
1991,,,
1992,0.009,0.452,0.000
1993,0.046,0.896,0.451
1994,0.052,0.855,0.575
1995,0.066,1.197,0.485
1996,0.053,1.120,0.176
1997,0.063,0.628,0.335
1998,0.078,1.207,0.481
1999,0.040,0.557,0.324
2000,0.039,0.624,0.693
2001,0.135,1.402,0.635
2002,0.073,0.728,0.643
2003,0.134,1.142,0.491
2004,0.195,1.187,0.307
2005,0.167,0.761,0.430
2006,0.239,1.015,0.310
2007,0.149,0.703,0.297
2008,0.262,1.009,0.544
2009,0.250,1.075,0.424
2010,0.231,0.841,0.690
2011,0.267,1.068,0.235
2012,0.269,0.770,0.327
