year,c,C,C_alphabet
1990,0.193,0.745,0.252
1991,0.213,0.865,0.353
1992,0.256,0.959,0.415
1993,0.221,0.902,0.420
1994,0.242,0.839,0.500
1995,0.236,0.938,0.417
1996,0.351,0.988,0.394
1997,0.222,0.742,0.401
1998,0.274,0.858,0.440
1999,0.285,0.988,0.375
2000,0.277,0.863,0.293
2001,0.259,0.762,0.509
2002,0.350,1.085,0.234
2003,0.216,0.664,0.568
2004,0.238,0.643,0.302
2005,0.421,1.248,0.345
2006,0.391,1.178,0.257
2007,0.318,0.928,0.414
2008,0.368,0.949,0.518
2009,0.413,1.049,0.409
2010,0.401,1.074,0.433
2011,0.354,0.990,0.440
2012,0.395,0.943,0.554
