year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.000,0.000,0.000
1994,0.060,0.571,1.053
1995,0.237,1.056,0.420
1996,0.057,0.301,0.540
1997,0.254,1.000,0.526
1998,0.275,1.021,0.482
1999,0.432,1.596,0.578
2000,0.322,1.012,0.439
2001,0.509,1.926,0.382
2002,0.323,1.089,0.757
2003,0.423,1.218,0.619
2004,0.587,1.864,0.439
2005,0.509,1.581,0.597
2006,0.509,1.547,0.438
2007,0.457,1.467,0.530
2008,0.358,1.190,0.443
2009,0.327,1.071,0.518
2010,0.553,1.460,0.660
2011,0.630,1.628,0.351
2012,0.468,1.522,0.368
