year,c,C,C_alphabet
1990,0.032,0.477,0.242
1991,0.024,0.117,0.223
1992,0.143,0.502,0.276
1993,0.130,0.608,0.397
1994,0.238,0.597,0.214
1995,0.213,0.816,0.537
1996,0.295,0.961,0.203
1997,0.235,0.799,0.370
1998,0.276,0.987,0.379
1999,0.179,0.622,0.580
2000,0.120,0.671,0.329
2001,0.204,0.520,0.243
2002,0.444,1.098,0.341
2003,0.268,0.884,0.309
2004,0.213,0.598,0.132
2005,0.298,0.586,0.244
2006,0.375,0.801,0.544
2007,0.277,0.727,0.355
2008,0.395,0.865,0.473
2009,0.255,0.925,0.604
2010,0.154,0.474,0.408
2011,0.308,0.825,0.560
2012,0.312,0.874,0.271
