year,c,C,C_alphabet
1990,,,
1991,0.046,0.409,0.061
1992,0.140,0.655,0.332
1993,0.216,0.688,0.354
1994,0.290,0.643,0.257
1995,0.310,0.652,0.305
1996,0.389,0.749,0.362
1997,0.403,0.781,0.389
1998,0.467,0.843,0.395
1999,0.486,0.715,0.361
2000,0.478,0.810,0.342
2001,0.622,0.918,0.340
2002,0.651,0.825,0.400
2003,0.764,0.940,0.355
2004,0.722,0.915,0.280
2005,0.734,0.936,0.356
2006,0.908,1.038,0.343
2007,0.879,0.896,0.337
2008,1.040,1.091,0.378
2009,0.891,0.903,0.342
2010,1.091,1.005,0.373
2011,1.048,1.005,0.359
2012,1.176,1.120,0.345
