year,c,C,C_alphabet
1990,0.323,0.952,0.500
1991,0.330,0.882,0.370
1992,0.317,0.847,0.461
1993,0.319,0.803,0.433
1994,0.394,0.911,0.414
1995,0.365,0.826,0.395
1996,0.402,0.843,0.367
1997,0.453,0.964,0.452
1998,0.398,0.803,0.392
1999,0.447,0.810,0.380
2000,0.482,0.916,0.516
2001,0.508,0.904,0.455
2002,0.520,0.849,0.518
2003,0.539,0.934,0.430
2004,0.541,0.877,0.377
2005,0.581,0.954,0.488
2006,0.675,1.067,0.447
2007,0.586,0.979,0.474
2008,0.642,1.042,0.523
2009,0.732,1.248,0.503
2010,0.652,1.117,0.391
2011,0.600,1.005,0.440
2012,0.651,1.027,0.440
