year,c,C,C_alphabet
1990,0.084,0.786,0.449
1991,0.126,0.995,0.689
1992,0.134,0.861,0.878
1993,0.107,1.016,0.588
1994,0.105,0.811,0.377
1995,0.076,0.731,0.544
1996,0.127,0.958,0.547
1997,0.084,0.629,0.614
1998,0.154,0.927,0.902
1999,0.126,0.937,0.579
2000,0.150,1.149,0.661
2001,0.129,1.103,0.758
2002,0.158,0.942,0.634
2003,0.099,0.579,0.739
2004,0.109,0.922,0.542
2005,0.204,1.154,0.799
2006,0.153,1.006,0.456
2007,0.137,0.948,0.546
2008,0.137,0.758,0.549
2009,0.123,0.676,0.578
2010,0.129,0.685,0.567
2011,0.158,1.002,0.554
2012,0.113,0.824,0.654
