year,c,C,C_alphabet
1990,0.936,1.443,0.524
1991,0.789,1.243,0.413
1992,0.907,1.360,0.474
1993,0.884,1.464,0.497
1994,0.867,1.345,0.497
1995,0.944,1.524,0.421
1996,0.959,1.496,0.470
1997,0.870,1.382,0.483
1998,0.619,1.011,0.423
1999,0.815,1.232,0.449
2000,0.985,1.352,0.418
2001,1.068,1.421,0.453
2002,0.983,1.262,0.426
2003,1.004,1.395,0.468
2004,0.974,1.337,0.507
2005,1.053,1.426,0.439
2006,1.191,1.547,0.463
2007,1.019,1.436,0.489
2008,1.141,1.582,0.482
2009,1.216,1.660,0.496
2010,1.333,1.756,0.458
2011,1.239,1.640,0.456
2012,1.157,1.643,0.473
