year,c,C,C_alphabet
1990,0.375,0.700,0.304
1991,0.258,0.462,0.671
1992,0.538,0.974,0.686
1993,0.375,0.654,0.298
1994,0.543,0.810,0.770
1995,0.158,0.250,0.373
1996,0.500,0.780,0.223
1997,0.300,0.526,0.266
1998,0.541,1.110,0.357
1999,0.559,1.122,0.344
2000,0.424,0.661,0.421
2001,0.316,0.525,0.315
2002,0.415,0.632,0.298
2003,0.326,0.779,0.469
2004,0.298,0.526,0.242
2005,0.255,0.641,0.325
2006,0.492,0.886,0.395
2007,0.365,0.915,0.564
2008,0.297,0.641,0.260
2009,0.519,0.867,0.374
2010,0.394,0.837,0.511
2011,0.300,0.835,0.494
2012,0.311,0.619,0.435
