year,c,C,C_alphabet
1990,,,
1991,,,
1992,,,
1993,0.040,0.504,0.252
1994,0.110,0.634,0.323
1995,0.171,0.612,0.411
1996,0.255,0.708,0.360
1997,0.332,0.767,0.450
1998,0.309,0.781,0.451
1999,0.300,0.729,0.373
2000,0.421,0.815,0.395
2001,0.399,0.808,0.435
2002,0.389,0.840,0.452
2003,0.443,0.820,0.494
2004,0.396,0.799,0.394
2005,0.430,0.823,0.449
2006,0.395,0.862,0.479
2007,0.599,1.036,0.394
2008,0.509,0.947,0.329
2009,0.703,1.102,0.425
2010,0.813,1.332,0.407
2011,0.735,1.193,0.374
2012,0.775,1.195,0.410
