year,c,C,C_alphabet
1990,0.086,0.373,0.551
1991,0.154,0.492,1.065
1992,0.200,0.796,0.664
1993,0.215,0.953,0.387
1994,0.160,0.662,0.671
1995,0.150,0.823,0.272
1996,0.184,0.806,0.481
1997,0.261,0.979,0.502
1998,0.177,0.610,0.503
1999,0.309,0.833,0.547
2000,0.227,0.622,0.370
2001,0.353,0.804,0.415
2002,0.439,0.940,0.357
2003,0.294,0.632,0.356
2004,0.366,0.812,0.356
2005,0.427,0.819,0.474
2006,0.322,0.697,0.373
2007,0.306,0.564,0.411
2008,0.459,0.839,0.407
2009,0.405,0.832,0.383
2010,0.312,0.768,0.411
2011,0.392,0.838,0.335
2012,0.431,0.960,0.390
