year,c,C,C_alphabet
1990,0.191,0.920,0.695
1991,0.146,0.669,0.353
1992,0.082,0.391,0.228
1993,0.254,1.158,0.586
1994,0.156,0.665,0.546
1995,0.225,0.768,0.421
1996,0.333,1.154,0.500
1997,0.354,1.051,0.330
1998,0.215,0.946,0.449
1999,0.307,0.981,0.297
2000,0.402,1.026,0.528
2001,0.333,0.908,0.320
2002,0.291,0.672,0.368
2003,0.285,0.698,0.469
2004,0.615,1.294,0.345
2005,0.450,1.161,0.377
2006,0.368,1.053,0.375
2007,0.270,0.806,0.683
2008,0.393,1.176,0.718
2009,0.442,1.042,0.436
2010,0.402,1.227,0.415
2011,0.379,1.084,0.456
2012,0.400,0.996,0.415
