year,c,C,C_alphabet
1990,0.312,0.689,0.468
1991,0.327,0.756,0.344
1992,0.354,0.625,0.526
1993,0.394,0.659,0.362
1994,0.348,0.711,0.364
1995,0.393,0.653,0.376
1996,0.500,0.816,0.492
1997,0.566,0.750,0.358
1998,0.452,0.889,0.453
1999,0.532,0.895,0.459
2000,0.483,0.919,0.353
2001,0.515,0.916,0.390
2002,0.592,0.986,0.369
2003,0.561,0.870,0.427
2004,0.581,1.088,0.361
2005,0.660,0.956,0.479
2006,0.598,0.982,0.334
2007,0.758,1.219,0.456
2008,0.694,1.097,0.348
2009,0.732,1.097,0.432
2010,0.743,1.201,0.500
2011,1.056,1.473,0.327
2012,0.711,1.063,0.435
