year,c,C,C_alphabet
1990,0.234,0.921,0.334
1991,0.161,0.617,0.426
1992,0.279,1.308,0.647
1993,0.236,0.917,0.466
1994,0.219,0.722,0.456
1995,0.265,0.868,0.498
1996,0.306,0.925,0.451
1997,0.257,0.848,0.312
1998,0.294,0.840,0.404
1999,0.293,0.830,0.401
2000,0.293,0.825,0.420
2001,0.260,0.646,0.442
2002,0.289,0.798,0.561
2003,0.335,1.018,0.302
2004,0.319,0.881,0.414
2005,0.378,1.074,0.465
2006,0.404,0.952,0.449
2007,0.483,1.146,0.438
2008,0.420,0.930,0.374
2009,0.414,0.872,0.583
2010,0.446,0.934,0.459
2011,0.483,1.056,0.500
2012,0.532,1.077,0.477
