year,c,C,C_alphabet
1990,0.088,0.881,0.881
1991,0.070,0.532,0.438
1992,0.032,0.540,0.360
1993,0.104,1.035,0.931
1994,0.050,0.827,0.662
1995,0.041,0.737,0.553
1996,0.041,0.632,0.624
1997,0.025,0.247,0.371
1998,0.088,1.081,0.926
1999,0.054,0.655,0.655
2000,0.049,0.746,0.746
2001,0.034,0.640,0.864
2002,0.037,0.569,0.576
2003,0.029,0.479,0.474
2004,0.070,0.625,0.632
2005,0.062,0.517,0.620
2006,0.056,0.586,0.352
2007,0.048,0.499,0.256
2008,0.061,0.715,0.698
2009,0.065,1.076,1.062
2010,0.073,0.670,0.791
2011,0.048,0.441,0.545
2012,0.108,1.137,1.185
