year,c,C,C_alphabet
1990,0.141,0.886,0.738
1991,0.185,0.867,0.698
1992,0.134,0.738,0.738
1993,0.138,0.791,0.615
1994,0.153,0.719,0.699
1995,0.123,0.742,0.756
1996,0.134,0.724,0.720
1997,0.189,0.851,0.821
1998,0.115,0.721,0.550
1999,0.181,0.925,0.683
2000,0.150,0.728,0.671
2001,0.159,0.587,0.603
2002,0.260,1.000,0.728
2003,0.236,0.832,0.557
2004,0.237,0.932,0.713
2005,0.176,0.750,0.841
2006,0.172,0.734,0.585
2007,0.140,0.537,0.425
2008,0.271,0.977,0.764
2009,0.186,0.699,0.609
2010,0.264,0.870,0.727
2011,0.192,0.824,0.595
2012,0.317,1.057,0.868
