year,c,C,C_alphabet
1990,0.077,0.710,0.710
1991,0.125,0.948,0.555
1992,0.241,1.106,1.069
1993,0.241,1.779,1.474
1994,0.190,1.184,0.594
1995,0.157,1.168,0.843
1996,0.000,0.000,0.000
1997,0.185,0.894,0.862
1998,0.180,0.942,0.628
1999,0.210,1.087,0.850
2000,0.161,0.879,0.536
2001,0.164,0.756,0.732
2002,0.241,1.119,0.652
2003,0.270,1.331,1.266
2004,0.237,0.754,0.557
2005,0.115,0.559,0.464
2006,0.230,0.931,0.619
2007,0.149,0.569,0.563
2008,0.273,0.905,0.743
2009,0.279,0.891,0.620
2010,0.203,0.537,0.514
2011,0.228,0.863,0.706
2012,0.107,0.469,0.247
