year,c,C,C_alphabet
1990,0.157,1.055,0.822
1991,0.084,0.412,0.257
1992,0.124,0.751,0.443
1993,0.193,1.044,0.740
1994,0.157,0.850,0.529
1995,0.169,0.866,0.633
1996,0.198,0.969,0.794
1997,0.141,0.771,0.522
1998,0.189,0.800,0.769
1999,0.120,0.556,0.508
2000,0.126,0.649,0.499
2001,0.110,0.584,0.434
2002,0.142,0.663,0.675
2003,0.199,0.899,0.680
2004,0.224,0.984,0.582
2005,0.161,0.678,0.602
2006,0.121,0.614,0.508
2007,0.171,0.712,0.573
2008,0.237,0.901,0.754
2009,0.192,0.707,0.548
2010,0.148,0.568,0.432
2011,0.171,0.591,0.590
2012,0.187,0.718,0.613
