year,c,C,C_alphabet
1990,0.084,1.321,1.294
1991,0.040,0.682,0.861
1992,0.026,0.347,0.703
1993,0.043,0.685,0.498
1994,0.026,0.728,0.779
1995,0.049,0.713,0.555
1996,0.022,0.484,0.734
1997,0.057,1.273,1.288
1998,0.035,0.698,0.730
1999,0.035,0.506,0.863
2000,0.068,0.744,0.849
2001,0.024,0.595,0.575
2002,0.089,0.599,0.833
2003,0.047,0.773,0.624
2004,0.088,0.880,0.920
2005,0.025,0.350,0.175
2006,0.020,0.262,0.422
2007,0.053,0.738,0.448
2008,0.036,0.557,0.811
2009,0.074,0.729,0.797
2010,0.048,0.717,0.725
2011,0.080,1.030,1.042
2012,0.071,0.696,0.481
