year,c,C,C_alphabet
1990,0.024,0.335,0.327
1991,0.057,0.683,0.683
1992,0.036,0.726,0.726
1993,0.052,0.547,0.274
1994,0.049,1.032,1.548
1995,0.026,0.326,0.330
1996,0.013,0.203,0.407
1997,0.037,0.497,0.503
1998,0.062,1.120,0.874
1999,0.037,0.704,0.713
2000,0.057,0.741,0.900
2001,0.041,0.424,0.419
2002,0.034,0.613,0.613
2003,0.051,0.863,0.863
2004,0.060,0.933,0.746
2005,0.083,0.947,0.947
2006,0.062,0.784,0.784
2007,0.055,0.563,0.570
2008,0.000,0.000,0.000
2009,0.066,0.713,0.470
2010,0.033,0.502,0.377
2011,0.073,0.753,0.863
2012,0.043,0.457,0.533
