year,c,C,C_alphabet
1990,0.022,0.255,0.261
1991,0.083,0.500,0.324
1992,0.062,0.378,0.585
1993,0.098,0.809,0.622
1994,0.111,1.118,0.732
1995,0.128,0.836,1.030
1996,0.130,0.829,0.582
1997,0.100,0.752,0.863
1998,0.035,0.425,0.457
1999,0.103,0.800,0.812
2000,0.125,0.686,0.582
2001,0.115,1.011,0.711
2002,0.118,0.599,0.574
2003,0.087,0.677,0.368
2004,0.176,1.130,0.983
2005,0.173,0.823,0.762
2006,0.165,1.001,0.632
2007,0.216,1.074,0.588
2008,0.162,0.799,0.768
2009,0.105,0.728,0.541
2010,0.088,0.506,0.375
2011,0.180,0.880,0.573
2012,0.228,0.892,0.702
