year,c,C,C_alphabet
1990,0.011,0.228,0.225
1991,0.068,0.970,0.776
1992,0.029,0.434,0.434
1993,0.016,0.542,0.542
1994,0.028,0.785,0.785
1995,0.027,0.598,0.590
1996,0.031,0.682,0.450
1997,0.044,0.997,0.997
1998,0.049,0.526,0.517
1999,0.014,0.182,0.182
2000,0.045,0.674,0.674
2001,0.051,0.614,0.777
2002,0.041,0.557,0.557
2003,0.093,1.694,1.717
2004,0.013,0.204,0.201
2005,0.016,0.316,0.316
2006,0.044,0.777,0.518
2007,0.073,1.013,0.675
2008,0.056,1.134,1.150
2009,0.100,1.058,1.076
2010,0.039,0.419,0.419
2011,0.029,0.402,0.406
2012,0.022,0.392,0.392
