year,c,C,C_alphabet
1990,0.053,0.653,0.653
1991,0.055,0.765,0.755
1992,0.099,1.119,1.026
1993,0.058,0.733,0.694
1994,0.080,0.886,0.695
1995,0.045,0.467,0.384
1996,0.102,0.942,0.899
1997,0.094,0.955,0.918
1998,0.059,0.678,0.678
1999,0.083,0.920,0.964
2000,0.059,0.651,0.574
2001,0.070,0.766,0.770
2002,0.109,0.759,0.793
2003,0.078,0.696,0.666
2004,0.083,0.614,0.479
2005,0.074,0.685,0.543
2006,0.092,0.676,0.623
2007,0.120,0.879,0.818
2008,0.092,0.845,0.724
2009,0.053,0.506,0.474
2010,0.088,0.676,0.583
2011,0.091,0.737,0.639
2012,0.140,0.900,0.887
