year,c,C,C_alphabet
1990,0.030,0.417,0.212
1991,0.017,0.481,0.945
1992,0.000,0.000,0.347
1993,0.068,0.703,0.468
1994,0.043,0.492,0.722
1995,0.022,0.354,0.723
1996,0.028,0.713,0.828
1997,0.089,1.432,1.535
1998,0.040,0.471,0.706
1999,0.103,1.274,1.307
2000,0.067,1.166,0.389
2001,0.024,0.247,0.820
2002,0.024,0.294,0.950
2003,0.080,1.100,1.146
2004,0.025,0.334,0.352
2005,0.083,1.018,1.018
2006,0.182,0.970,1.201
2007,0.074,0.529,0.841
2008,0.000,0.000,0.267
2009,0.065,0.716,0.749
2010,0.071,0.727,0.970
2011,0.079,0.506,0.550
2012,0.000,0.000,0.734
