year,c,C,C_alphabet
1990,0.044,0.483,0.399
1991,0.054,0.763,0.663
1992,0.056,0.718,0.718
1993,0.045,0.669,0.585
1994,0.063,0.900,0.630
1995,0.049,0.608,0.451
1996,0.051,0.583,0.662
1997,0.052,0.596,0.596
1998,0.048,0.515,0.515
1999,0.045,0.542,0.555
2000,0.038,0.416,0.359
2001,0.095,0.707,0.707
2002,0.062,0.614,0.627
2003,0.076,0.740,0.674
2004,0.050,0.582,0.582
2005,0.065,0.603,0.536
2006,0.066,0.569,0.565
2007,0.068,0.602,0.653
2008,0.101,0.710,0.760
2009,0.078,0.747,0.685
2010,0.075,0.542,0.542
2011,0.099,0.650,0.565
2012,0.111,0.874,0.799
