year,c,C,C_alphabet
1990,,,
1991,0.000,0.000,0.000
1992,0.085,0.939,0.267
1993,0.134,0.897,0.490
1994,0.212,0.922,0.467
1995,0.322,1.015,0.528
1996,0.241,0.873,0.462
1997,0.284,0.897,0.515
1998,0.280,0.958,0.505
1999,0.249,0.898,0.441
2000,0.286,0.833,0.568
2001,0.417,1.210,0.597
2002,0.263,0.887,0.440
2003,0.312,0.918,0.561
2004,0.292,0.980,0.477
2005,0.424,1.236,0.559
2006,0.277,0.760,0.510
2007,0.438,1.299,0.738
2008,0.412,1.084,0.506
2009,0.448,1.299,0.399
2010,0.367,1.038,0.344
2011,0.496,1.351,0.432
2012,0.533,1.379,0.489
