year,c,C,C_alphabet
1990,0.043,0.621,0.298
1991,0.069,0.826,0.456
1992,0.069,0.797,0.573
1993,0.087,0.887,0.341
1994,0.056,0.772,0.500
1995,0.029,0.613,0.617
1996,0.114,1.344,0.637
1997,0.061,0.960,0.527
1998,0.088,0.760,0.268
1999,0.092,0.982,0.506
2000,0.090,1.098,0.483
2001,0.048,0.510,0.832
2002,0.038,0.503,0.460
2003,0.096,0.875,0.657
2004,0.079,0.774,0.555
2005,0.088,0.829,0.479
2006,0.078,0.861,0.759
2007,0.071,0.928,0.639
2008,0.153,1.230,0.450
2009,0.133,0.978,0.650
2010,0.129,0.985,0.638
2011,0.082,0.551,0.569
2012,0.100,0.913,0.356
