year,c,C,C_alphabet
1990,0.083,0.693,0.537
1991,0.120,0.976,0.469
1992,0.198,1.319,0.934
1993,0.090,0.630,0.433
1994,0.124,0.889,0.279
1995,0.298,1.382,0.713
1996,0.194,1.035,0.820
1997,0.187,1.230,0.522
1998,0.094,0.614,0.756
1999,0.191,1.080,0.782
2000,0.238,1.083,0.546
2001,0.117,0.761,0.666
2002,0.305,1.280,0.367
2003,0.211,1.091,0.439
2004,0.194,0.897,0.462
2005,0.293,1.144,0.528
2006,0.200,0.898,0.395
2007,0.321,1.151,0.602
2008,0.161,0.721,0.368
2009,0.250,1.024,0.728
2010,0.276,1.073,0.540
2011,0.175,0.897,0.555
2012,0.256,1.022,0.330
