year,c,C,C_alphabet
1990,0.304,1.087,0.724
1991,0.323,1.133,0.824
1992,0.333,1.219,0.696
1993,0.312,1.160,0.760
1994,0.326,1.067,0.717
1995,0.310,1.080,0.715
1996,0.372,1.161,0.789
1997,0.321,1.058,0.752
1998,0.351,1.143,0.712
1999,0.296,1.062,0.769
2000,0.317,1.155,0.798
2001,0.312,1.153,0.768
2002,0.299,1.199,0.680
2003,0.332,1.322,0.749
2004,0.279,1.151,0.784
2005,0.281,1.187,0.644
2006,0.223,0.913,0.743
2007,0.281,1.116,0.718
2008,0.267,1.116,0.617
2009,0.389,1.372,0.615
2010,0.356,1.238,0.626
2011,0.400,1.328,0.656
2012,0.357,1.338,0.597
