year,c,C,C_alphabet
1990,0.080,0.417,0.316
1991,0.000,0.000,0.000
1992,0.071,0.348,1.218
1993,0.083,0.540,1.079
1994,0.000,0.000,0.000
1995,0.100,1.592,0.000
1996,0.000,0.000,0.000
1997,0.133,1.017,0.477
1998,0.059,0.485,0.000
1999,0.067,0.842,0.000
2000,0.097,0.494,0.340
2001,0.083,0.746,0.497
2002,0.057,0.525,0.000
2003,0.063,0.736,0.575
2004,0.096,0.646,0.345
2005,0.167,0.926,0.634
2006,0.160,0.789,0.426
2007,0.206,0.952,0.585
2008,0.217,0.886,0.469
2009,0.366,1.083,0.649
2010,0.188,0.641,0.497
2011,0.338,0.863,0.647
2012,0.353,0.963,0.835
