year,c,C,C_alphabet
1990,0.303,1.213,0.961
1991,0.222,0.908,0.561
1992,0.379,1.087,0.721
1993,0.295,0.864,0.715
1994,0.347,1.068,0.595
1995,0.361,0.958,0.471
1996,0.444,0.982,0.465
1997,0.362,0.987,0.445
1998,0.456,0.917,0.543
1999,0.446,0.852,0.417
2000,0.500,0.810,0.422
2001,0.497,0.942,0.539
2002,0.427,0.923,0.545
2003,0.423,0.851,0.463
2004,0.515,1.030,0.495
2005,0.717,1.278,0.397
2006,0.653,1.030,0.468
2007,0.616,1.053,0.540
2008,0.836,1.411,0.441
2009,0.628,1.030,0.418
2010,0.908,1.411,0.431
2011,0.866,1.424,0.387
2012,0.842,1.406,0.447
