year,c,C,C_alphabet
1990,0.302,1.021,0.620
1991,0.146,0.599,0.168
1992,0.367,1.270,0.562
1993,0.283,0.893,0.729
1994,0.256,1.005,0.436
1995,0.222,0.960,0.648
1996,0.235,0.992,0.398
1997,0.293,0.927,0.416
1998,0.286,0.945,0.742
1999,0.319,1.029,0.339
2000,0.413,1.093,0.778
2001,0.447,1.078,0.491
2002,0.348,1.165,0.717
2003,0.400,1.214,0.379
2004,0.299,0.971,0.238
2005,0.360,0.966,0.238
2006,0.337,0.972,0.529
2007,0.425,1.013,0.348
2008,0.410,0.973,0.574
2009,0.449,0.962,0.524
2010,0.559,1.173,0.369
2011,0.566,1.212,0.508
2012,0.600,1.197,0.272
