year,c,C,C_alphabet
1990,,,
1991,0.000,nan,nan
1992,0.122,0.883,0.267
1993,0.206,1.179,0.803
1994,0.193,1.345,0.978
1995,0.147,0.644,0.626
1996,0.465,1.421,0.437
1997,0.263,1.065,0.733
1998,0.219,0.833,0.304
1999,0.383,0.921,0.212
2000,0.409,1.064,0.463
2001,0.438,1.070,0.414
2002,0.253,0.723,0.571
2003,0.412,1.115,0.575
2004,0.431,1.140,0.360
2005,0.682,1.432,0.414
2006,0.667,1.389,0.347
2007,0.532,1.406,0.587
2008,0.737,1.410,0.361
2009,0.383,0.935,0.348
2010,0.482,1.221,0.481
2011,0.480,1.369,0.426
2012,0.254,0.681,0.423
