year,c,C,C_alphabet
1990,0.210,0.719,0.404
1991,0.339,1.014,0.680
1992,0.333,0.919,0.617
1993,0.312,0.907,0.613
1994,0.304,0.801,0.285
1995,0.397,1.005,0.577
1996,0.193,0.739,0.365
1997,0.441,1.174,0.329
1998,0.372,1.175,0.338
1999,0.368,0.948,0.472
2000,0.348,0.880,0.450
2001,0.352,1.008,0.599
2002,0.434,1.037,0.349
2003,0.351,0.993,0.446
2004,0.197,0.607,0.526
2005,0.559,1.315,0.527
2006,0.352,0.962,0.335
2007,0.505,1.294,0.546
2008,0.403,1.108,0.546
2009,0.461,1.237,0.460
2010,0.400,1.168,0.325
2011,0.550,1.546,0.528
2012,0.476,1.298,0.450
